"week.number","start.date","end.date","Bukit.Batok","Choa.Chu.Kang","Tampines","Yishun","Ang.Mo.Kio","Bedok","Bishan","Bukit.Merah","Bukit.Panjang","Bukit.Timah","Changi","Clementi","Geylang","Hougang","Jurong.East","Jurong.West","Kallang","Mandai","Marine.Parade","Newton","Novena","Outram","Pasir.Ris","Punggol","Queenstown","River.Valley","Rochor","Sembawang","Sengkang","Serangoon","Sungei.Kadut","Tanglin","Toa.Payoh","Woodlands"
138,"14/8/2016","20/8/2016",1,2,10,10,5,35,3,3,10,2,0,9,22,7,2,8,4,0,1,0,3,1,15,4,2,1,0,2,4,8,0,0,4,5
139,"21/8/2016","27/8/2016",0,2,9,10,6,40,2,5,10,10,0,4,21,13,2,11,7,0,3,0,0,1,12,3,2,1,1,1,5,8,0,0,9,5
140,"28/8/2016","3/9/2016",0,0,8,8,3,43,3,4,6,0,0,4,25,6,1,14,10,0,3,1,2,1,16,1,0,0,0,4,3,10,0,0,5,8
141,"4/9/2016","10/9/2016",0,5,8,19,3,37,5,2,5,1,0,8,13,7,3,8,1,1,0,0,3,1,5,2,0,2,1,2,8,8,0,1,2,3
142,"11/9/2016","17/9/2016",0,1,3,12,5,20,1,3,3,2,0,5,7,4,1,10,4,0,3,0,0,2,3,2,1,0,0,3,2,5,0,0,3,3
143,"18/9/2016","24/9/2016",1,0,4,9,3,23,4,1,4,0,0,1,6,7,0,11,5,0,1,1,0,0,5,1,1,1,0,2,0,0,0,0,3,4
144,"25/9/2016","1/10/2016",1,1,3,14,8,26,0,5,4,0,0,0,12,6,0,3,2,0,3,0,2,0,0,1,1,0,0,1,2,3,0,0,1,3
145,"2/10/2016","8/10/2016",3,0,1,2,6,11,1,2,0,1,0,1,8,8,0,3,1,0,2,0,0,0,3,0,0,1,0,3,7,6,0,0,1,3
146,"9/10/2016","15/10/2016",0,0,4,5,2,11,2,1,5,1,0,0,7,3,0,1,1,0,2,0,2,1,3,3,1,0,2,1,2,2,0,1,2,4
147,"16/10/2016","22/10/2016",0,0,3,4,3,4,1,1,3,0,0,0,5,4,0,2,2,0,1,0,1,0,0,4,2,1,0,1,4,5,0,0,2,6
148,"23/10/2016","29/10/2016",0,0,5,1,3,6,0,1,0,1,0,0,2,3,2,3,2,0,1,0,0,0,1,1,1,0,1,0,0,3,0,0,0,4
149,"30/10/2016","5/11/2016",0,1,4,0,5,6,2,1,1,1,0,3,3,8,2,2,1,0,0,1,0,0,1,0,1,1,0,0,3,5,0,0,1,2
150,"6/11/2016","12/11/2016",0,0,2,3,3,9,0,3,1,0,0,0,6,7,2,6,1,0,1,0,1,1,3,1,3,0,0,1,2,2,0,0,1,2
